"PPEE"	"PPDE"	"PostFC"	"RealFC"	"C1Mean"	"C2Mean"
"234366"	0.000130573714591131	0.999869426285409	0.00111692030083052	2.07766631050302e-05	0	481.29924342605
"17879"	0.000136507072669545	0.99986349292733	439.150727056168	23581.1326410017	235.801326410017	0
"319601"	0.000139970952351409	0.999860029047649	0.00116823861251529	2.17323688376607e-05	0	460.133119910182
"100034361"	0.000183991837408026	0.999816008162592	372.519510499239	19995.2138522779	199.942138522779	0
"67532"	0.000183991837408026	0.999816008162592	372.519510499239	19995.2138522779	199.942138522779	0
"227800"	0.000191598929764947	0.999808401070235	0.00143128792735781	2.66326744363941e-05	0	375.468625846708
"11811"	0.000192478916494432	0.999807521083506	322.239836815699	504.629049847391	469.429368705655	0.920266239820363
"53872"	0.000195350597155364	0.999804649402845	360.404743852525	19343.2286179645	193.422286179645	0
"269704"	0.000210029571699022	0.999789970428301	346.270849431358	18582.5791779322	185.815791779322	0
"20964"	0.000216435867906206	0.999783564132094	0.00154879775681835	2.88225659781599e-05	0	346.940372412277
"14011"	0.000218803164090731	0.999781196835909	0.00120074547213499	0.00118820781439563	49.9855346306948	42076.4130170667
"67302"	0.000220937731589266	0.999779062268411	0.00156958225670195	2.92099547425727e-05	0	342.339041213175
"235497"	0.000224540666482365	0.999775459333518	349.477571243449	359.998072775599	6298.17736346754	17.4850585565869
"216151"	0.000225595550522706	0.999774404449477	0.00159093219073143	2.96078987466216e-05	0	337.737710014073
"14886"	0.000230416945305123	0.999769583054695	0.00161287095070956	3.00168353489862e-05	0	333.136378814972
"11749"	0.00025494573417062	0.999745054265829	0.00172211032654073	3.20533105225289e-05	0	311.970255299103
"66075"	0.00027251615781354	0.999727483842186	299.830910618953	16083.3024463974	160.823024463974	0
"228136"	0.000325574871952838	0.999674425128047	0.00219319631869289	0.00199959414956078	5.43321028594508	2722.14753738864
"66997"	0.000325856114538392	0.999674143885462	271.56312177662	14562.0035663328	145.610035663328	0
"76722"	0.00032653789371806	0.999673462106282	0.00233055553615926	0.00157416152645003	1.08664205718902	696.641543544015
"70769"	0.00032943599816404	0.999670564001836	0.00203349582467268	3.78606591012029e-05	0	264.116410828444
"66642"	0.000396012602030482	0.99960398739797	0.00264079208647285	0.00178388921636735	1.08664205718902	614.737848200003
"20740"	0.000430863637245316	0.999569136362755	0.00242069239899708	4.50868491254162e-05	0	221.784163796708
"244059"	0.000445341336095861	0.999554658663904	0.00284963970784134	0.00192509929254493	1.08664205718902	569.644802448805
"233876"	0.000460836593145109	0.999539163406855	0.00239329832675259	0.00231323097893426	15.2129888006462	6580.82388095542
"17920"	0.000526826247967405	0.999473173752033	0.00317790092104011	0.00214708837812351	1.08664205718902	510.747763100302
"667772"	0.000538803878367133	0.999461196121633	0.00310301268266775	0.00276842115763227	4.34656822875607	1573.65527009282
"18412"	0.000540685844755862	0.999459314155244	204.931905219691	10976.0847776091	109.750847776091	0
"21828"	0.000600807802442982	0.999399192197557	0.00300538627690525	5.60093399528159e-05	0	178.531650525151
"54169"	0.0006244787584615	0.999375521241539	0.0033437123124071	0.00304885984156622	5.43321028594508	1785.31650525151
"24010"	0.000625293120054327	0.999374706879946	0.00308464859744338	5.74909833369636e-05	0	173.930319326049
"12512"	0.000651462104270695	0.999348537895729	0.00316820500500637	5.90531460628747e-05	0	169.328988126947
"12954"	0.000677321792042829	0.999322678207957	180.702371926262	9672.11430898225	96.7111430898225	0
"22608"	0.000741836977129928	0.99925816302287	0.00344843692659301	6.4294212567669e-05	0	155.524994529641
"240057"	0.000741836977129928	0.99925816302287	0.00344843692659301	6.4294212567669e-05	0	155.524994529641
"170760"	0.000898896391163251	0.999101103608837	0.00390950474485692	7.29236788760124e-05	0	137.119669733234
"67920"	0.00128263412867147	0.998717365871329	126.185922016048	6738.1807545719	67.371807545719	0
"228880"	0.00131464011938387	0.998685359880616	0.00501611258583762	9.36672650344351e-05	0	106.750883819162
"15381"	0.00141680341048411	0.998583196589516	0.00605516282212513	0.00409488963653224	1.08664205718902	267.797475787726
"433809"	0.00144147456079924	0.998558525439201	118.109410918238	6303.5239316963	63.025239316963	0
"11737"	0.00146466500902476	0.998535334990975	0.00538567535857009	0.00010060488293445	0	99.3887539005993
"20227"	0.00150619019027076	0.998493809809729	0.0059280535254846	0.00540654705029039	5.43321028594508	1006.77126636348
"12967"	0.00174368473086595	0.998256315269134	105.994644271524	5651.53869738289	56.5053869738289	0
"71175"	0.00183254898216156	0.998167451017838	92.0127846090354	143.686793428149	133.656973034249	0.920266239820363
"12826"	0.0018463775276979	0.998153622472302	90.6767202166239	116.272008025062	215.155127323425	1.84053247964073
"100043597"	0.00193306802863058	0.998066931971369	99.937260948167	5325.54608022618	53.2454608022618	0
"16906"	0.00200331673335974	0.99799668326664	97.9181331737146	5216.88187450728	52.1588187450728	0
"217935"	0.00229980849324041	0.99770019150676	0.00725698242107864	0.000135811809795579	0	73.6212991856291
